"payment_id","payment_date","amount"
20228,2007-03-17 00:02:58.996,2.99
19799,2007-03-17 00:06:17.996,4.99
21870,2007-03-17 00:06:21.996,4.99
24068,2007-03-17 00:06:44.996,4.99
19770,2007-03-17 00:21:46.996,2.99
22548,2007-03-17 00:22:39.996,5.99
20340,2007-03-17 00:26:15.996,2.99
21109,2007-03-17 00:27:33.996,2.99
24814,2007-03-17 00:31:28.996,5.99
20178,2007-03-17 00:32:15.996,3.99
21550,2007-03-17 00:41:52.996,1.99
19812,2007-03-17 00:43:02.996,4.99
21406,2007-03-17 00:49:08.996,4.99
24183,2007-03-17 00:49:29.996,5.99
22328,2007-03-17 00:54:49.996,3.99
22220,2007-03-17 00:56:48.996,9.99
22736,2007-03-17 00:58:07.996,6.99
20613,2007-03-17 01:04:30.996,2.99
24580,2007-03-17 01:15:28.996,6.99
20293,2007-03-17 01:21:40.996,6.99
19752,2007-03-17 01:22:21.996,6.99
19570,2007-03-17 01:31:22.996,8.99
23711,2007-03-17 01:36:36.996,7.99
20773,2007-03-17 01:40:30.996,5.99
21476,2007-03-17 01:43:13.996,4.99
20692,2007-03-17 01:49:45.996,4.99
20831,2007-03-17 01:50:36.996,4.99
21303,2007-03-17 01:59:23.996,4.99
21231,2007-03-17 02:05:18.996,8.99
23384,2007-03-17 02:09:37.996,3.99
19606,2007-03-17 02:12:03.996,4.99
21963,2007-03-17 02:17:17.996,2.99
23850,2007-03-17 02:18:59.996,4.99
22696,2007-03-17 02:20:44.996,2.99
21110,2007-03-17 02:23:01.996,4.99
23033,2007-03-17 02:28:27.996,4.99
20039,2007-03-17 02:29:06.996,2.99
24359,2007-03-17 02:30:02.996,4.99
24698,2007-03-17 02:42:11.996,7.99
24732,2007-03-17 02:44:12.996,4.99
24251,2007-03-17 02:44:13.996,2.99
21925,2007-03-17 02:47:18.996,2.99
24291,2007-03-17 02:54:13.996,10.99
25036,2007-03-17 02:55:44.996,8.99
19834,2007-03-17 02:55:50.996,6.99
23367,2007-03-17 02:56:12.996,2.99
24292,2007-03-17 02:57:22.996,1.99
24878,2007-03-17 02:57:58.996,2.99
21435,2007-03-17 02:58:35.996,4.99
22659,2007-03-17 03:00:15.996,2.99
23610,2007-03-17 03:01:43.996,5.99
19623,2007-03-17 03:04:57.996,4.99
24144,2007-03-17 03:07:35.996,6.99
21377,2007-03-17 03:11:55.996,6.99
21735,2007-03-17 03:12:59.996,1.99
23443,2007-03-17 03:14:05.996,4.99
24570,2007-03-17 03:18:01.996,1.99
21130,2007-03-17 03:18:12.996,4.99
23023,2007-03-17 03:19:22.996,4.99
23696,2007-03-17 03:22:40.996,7.99
21407,2007-03-17 03:24:42.996,6.99
24708,2007-03-17 03:27:52.996,2.99
20961,2007-03-17 03:28:29.996,4.99
24033,2007-03-17 03:30:51.996,6.99
20359,2007-03-17 03:34:36.996,4.99
24714,2007-03-17 03:34:45.996,2.99
23724,2007-03-17 03:39:33.996,7.99
23224,2007-03-17 03:39:35.996,4.99
20998,2007-03-17 03:47:43.996,2.99
23712,2007-03-17 03:49:11.996,4.99
21958,2007-03-17 03:51:08.996,1.99
22945,2007-03-17 03:54:23.996,8.99
24383,2007-03-17 03:56:03.996,6.99
20506,2007-03-17 03:58:45.996,3.99
21079,2007-03-17 04:04:18.996,2.99
25017,2007-03-17 04:05:23.996,6.99
22015,2007-03-17 04:13:36.996,2.99
22478,2007-03-17 04:15:21.996,5.99
21620,2007-03-17 04:17:17.996,5.99
20168,2007-03-17 04:18:47.996,4.99
19870,2007-03-17 04:22:41.996,2.99
19898,2007-03-17 04:24:53.996,6.99
21857,2007-03-17 04:26:20.996,1.99
24369,2007-03-17 04:36:05.996,5.99
23368,2007-03-17 04:37:20.996,4.99
24740,2007-03-17 04:40:53.996,4.99
22128,2007-03-17 04:41:56.996,2.99
20647,2007-03-17 04:42:06.996,2.99
23314,2007-03-17 04:43:43.996,5.99
21889,2007-03-17 04:55:41.996,3.99
23166,2007-03-17 05:07:42.996,4.99
20699,2007-03-17 05:07:56.996,2.99
24302,2007-03-17 05:08:25.996,5.99
23473,2007-03-17 05:10:24.996,5.99
20977,2007-03-17 05:10:34.996,6.99
19521,2007-03-17 05:12:48.996,6.99
21871,2007-03-17 05:19:31.996,3.99
20294,2007-03-17 05:21:07.996,6.99
24741,2007-03-17 05:25:22.996,4.99
20871,2007-03-17 05:25:56.996,6.99
20639,2007-03-17 05:29:34.996,4.99
21938,2007-03-17 05:29:35.996,2.99
20317,2007-03-17 05:38:25.996,4.99
20179,2007-03-17 05:40:24.996,5.99
23651,2007-03-17 05:40:57.996,2.99
23013,2007-03-17 05:44:13.996,4.99
21964,2007-03-17 05:47:22.996,4.99
19658,2007-03-17 05:47:55.996,4.99
23946,2007-03-17 05:49:48.996,7.99
21636,2007-03-17 05:50:51.996,4.99
22470,2007-03-17 05:53:25.996,2.99
22479,2007-03-17 05:55:13.996,2.99
22214,2007-03-17 05:58:10.996,4.99
21466,2007-03-17 05:59:21.996,2.99
22634,2007-03-17 06:01:17.996,2.99
22549,2007-03-17 06:02:31.996,3.99
24135,2007-03-17 06:03:21.996,2.99
19722,2007-03-17 06:09:21.996,4.99
21273,2007-03-17 06:09:21.996,4.99
22232,2007-03-17 06:13:08.996,4.99
20169,2007-03-17 06:14:31.996,5.99
23804,2007-03-17 06:15:20.996,8.99
20015,2007-03-17 06:21:29.996,2.99
20202,2007-03-17 06:24:48.996,2.99
22673,2007-03-17 06:33:10.996,6.99
23115,2007-03-17 06:37:26.996,2.99
21190,2007-03-17 06:40:52.996,4.99
24686,2007-03-17 06:43:07.996,2.99
23611,2007-03-17 06:50:26.996,2.99
23181,2007-03-17 06:53:01.996,3.99
23963,2007-03-17 06:58:12.996,3.99
20157,2007-03-17 07:02:48.996,3.99
21274,2007-03-17 07:04:08.996,3.99
22054,2007-03-17 07:09:21.996,8.99
22176,2007-03-17 07:10:34.996,4.99
20258,2007-03-17 07:14:21.996,8.99
22946,2007-03-17 07:16:57.996,6.99
20145,2007-03-17 07:17:31.996,2.99
22934,2007-03-17 07:22:56.996,5.99
24895,2007-03-17 07:28:27.996,3.99
19835,2007-03-17 07:31:50.996,5.99
22233,2007-03-17 07:31:57.996,2.99
22347,2007-03-17 07:32:29.996,2.99
23167,2007-03-17 07:36:22.996,6.99
21566,2007-03-17 07:39:21.996,4.99
23096,2007-03-17 07:40:18.996,4.99
21846,2007-03-17 07:44:01.996,3.99
24581,2007-03-17 07:57:48.996,2.99
22036,2007-03-17 08:01:28.996,8.99
23683,2007-03-17 08:09:49.996,2.99
22143,2007-03-17 08:12:48.996,2.99
22798,2007-03-17 08:13:25.996,5.99
24939,2007-03-17 08:16:32.996,9.99
19918,2007-03-17 08:23:54.996,2.99
22134,2007-03-17 08:27:06.996,2.99
23422,2007-03-17 08:29:06.996,7.99
22314,2007-03-17 08:30:55.996,2.99
20962,2007-03-17 08:33:15.996,2.99
21525,2007-03-17 08:33:31.996,4.99
20040,2007-03-17 08:45:35.996,6.99
24867,2007-03-17 08:47:23.996,5.99
20619,2007-03-17 08:48:17.996,5.99
21628,2007-03-17 08:49:05.996,3.99
22406,2007-03-17 08:54:19.996,3.99
23482,2007-03-17 08:55:45.996,4.99
24668,2007-03-17 09:00:06.996,3.99
23851,2007-03-17 09:00:24.996,3.99
19813,2007-03-17 09:02:50.996,2.99
21790,2007-03-17 09:05:26.996,4.99
24437,2007-03-17 09:23:12.996,3.99
21099,2007-03-17 09:26:06.996,3.99
24548,2007-03-17 09:27:26.996,2.99
22278,2007-03-17 09:27:44.996,4.99
24119,2007-03-17 09:27:50.996,6.99
21262,2007-03-17 09:28:34.996,2.99
20542,2007-03-17 09:32:19.996,4.99
20308,2007-03-17 09:34:19.996,5.99
