"film_id","title","description","rating","rental_rate"
976,Wind Phantom,A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft,R,0.99
808,Sling Luke,A Intrepid Character Study of a Robot And a Monkey who must Reach a Secret Agent in An Abandoned Amusement Park,R,0.99
978,Wisdom Worker,A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station,R,0.99
982,Women Dorado,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,R,0.99
813,Smoochy Control,A Thrilling Documentary of a Husband And a Feminist who must Face a Mad Scientist in Ancient China,R,0.99
395,Handicap Boondock,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,R,0.99
822,Soup Wisdom,A Fast-Paced Display of a Robot And a Butler who must Defeat a Butler in A MySQL Convention,R,0.99
742,Roof Champion,A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon,R,0.99
314,Fight Jawbreaker,A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse,R,0.99
406,Haunting Pianist,A Fast-Paced Story of a Database Administrator And a Composer who must Defeat a Squirrel in An Abandoned Amusement Park,R,0.99
830,Spirit Flintstones,A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan,R,0.99
416,Highball Potter,A Action-Packed Saga of a Husband And a Dog who must Redeem a Database Administrator in The Sahara Desert,R,0.99
833,Splendor Patton,A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin,R,0.99
424,Holocaust Highball,A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia,R,0.99
425,Holy Tadpole,A Action-Packed Display of a Feminist And a Pioneer who must Pursue a Dog in A Baloon Factory,R,0.99
427,Homeward Cider,A Taut Reflection of a Astronaut And a Squirrel who must Fight a Squirrel in A Manhattan Penthouse,R,0.99
429,Honey Ties,A Taut Story of a Waitress And a Crocodile who must Outrace a Lumberjack in A Shark Tank,R,0.99
434,Horror Reign,A Touching Documentary of a A Shark And a Car who must Build a Husband in Nigeria,R,0.99
840,Stampede Disturbing,A Unbelieveable Tale of a Woman And a Lumberjack who must Fight a Frisbee in A U-Boat,R,0.99
850,Story Side,A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft,R,0.99
17,Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,R,0.99
851,Straight Hours,A Boring Panorama of a Secret Agent And a Girl who must Sink a Waitress in The Outback,R,0.99
452,Illusion Amelie,A Emotional Epistle of a Boat And a Mad Scientist who must Outrace a Robot in An Abandoned Mine Shaft,R,0.99
890,Tights Dawn,A Thrilling Epistle of a Boat And a Secret Agent who must Face a Boy in A Baloon,R,0.99
863,Sun Confessions,A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park,R,0.99
339,Frogmen Breaking,A Unbelieveable Yarn of a Mad Scientist And a Cat who must Chase a Lumberjack in Australia,R,0.99
482,Jeopardy Encino,A Boring Panorama of a Man And a Mad Cow who must Face a Explorer in Ancient India,R,0.99
747,Roxanne Rebel,A Astounding Story of a Pastry Chef And a Database Administrator who must Fight a Man in The Outback,R,0.99
493,Kane Exorcist,A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin,R,0.99
750,Run Pacific,A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention,R,0.99
168,Comancheros Enemy,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,R,0.99
118,Canyon Stock,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,R,0.99
23,Anaconda Confessions,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,R,0.99
287,Entrapment Satisfaction,A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat,R,0.99
523,Lights Deer,A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico,R,0.99
525,Loathing Legally,A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico,R,0.99
355,Ghostbusters Elf,A Thoughtful Epistle of a Dog And a Feminist who must Chase a Composer in Berlin,R,0.99
531,Lose Inch,A Stunning Reflection of a Student And a Technical Writer who must Battle a Butler in The First Manned Space Station,R,0.99
535,Love Suicides,A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House,R,0.99
315,Finding Anaconda,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,R,0.99
90,Boulevard Mob,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,R,0.99
358,Gilmore Boiled,A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat,R,0.99
913,Troopers Metal,A Fanciful Drama of a Monkey And a Feminist who must Sink a Man in Berlin,R,0.99
566,Maude Mod,A Beautiful Documentary of a Forensic Psychologist And a Cat who must Reach a Astronaut in Nigeria,R,0.99
213,Date Speed,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,R,0.99
54,Banger Pinocchio,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,R,0.99
363,Go Purple,A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon,R,0.99
221,Deliverance Mulholland,A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank,R,0.99
101,Brotherhood Blanket,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,R,0.99
599,Mother Oleander,A Boring Tale of a Husband And a Boy who must Fight a Squirrel in Ancient China,R,0.99
610,Music Boondock,A Thrilling Tale of a Butler And a Astronaut who must Battle a Explorer in The First Manned Space Station,R,0.99
925,United Pilot,A Fast-Paced Reflection of a Cat And a Mad Cow who must Fight a Car in The Sahara Desert,R,0.99
619,Neighbors Charade,A Fanciful Reflection of a Crocodile And a Astronaut who must Outrace a Feminist in An Abandoned Amusement Park,R,0.99
367,Goldmine Tycoon,A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback,R,0.99
786,Shepherd Midsummer,A Thoughtful Drama of a Robot And a Womanizer who must Kill a Lumberjack in A Baloon,R,0.99
242,Doom Dancing,A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention,R,0.99
935,Vanished Garden,A Intrepid Character Study of a Squirrel And a A Shark who must Kill a Lumberjack in California,R,0.99
652,Pajama Jawbreaker,A Emotional Drama of a Boy And a Technical Writer who must Redeem a Sumo Wrestler in California,R,0.99
245,Double Wrath,A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico,R,0.99
269,Earring Instinct,A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria,R,0.99
728,Reunion Witches,A Unbelieveable Documentary of a Database Administrator And a Frisbee who must Redeem a Mad Scientist in A Baloon Factory,R,0.99
301,Family Sweet,A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin,R,0.99
795,Siege Madre,A Boring Tale of a Frisbee And a Crocodile who must Vanquish a Moose in An Abandoned Mine Shaft,R,0.99
945,Virginian Pluto,A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin,R,0.99
379,Greedy Roots,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,R,0.99
797,Silence Kane,A Emotional Drama of a Sumo Wrestler And a Dentist who must Confront a Sumo Wrestler in A Baloon,R,0.99
40,Army Flintstones,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,R,0.99
736,Robbery Bright,A Taut Reflection of a Robot And a Squirrel who must Fight a Boat in Ancient Japan,R,0.99
974,Wild Apollo,A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention,R,0.99
309,Feud Frogmen,A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies,R,0.99
69,Beverly Outlaw,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,R,2.99
288,Escape Metropolis,A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans,R,2.99
30,Anything Savannah,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,R,2.99
296,Express Lonely,A Boring Drama of a Astronaut And a Boat who must Face a Boat in California,R,2.99
700,Prix Undefeated,A Stunning Saga of a Mad Scientist And a Boat who must Overcome a Dentist in Ancient China,R,2.99
705,Purple Movie,A Boring Display of a Pastry Chef And a Sumo Wrestler who must Discover a Frisbee in An Abandoned Amusement Park,R,2.99
707,Quest Mussolini,A Fateful Drama of a Husband And a Sumo Wrestler who must Battle a Pastry Chef in A Baloon Factory,R,2.99
724,Remember Diary,A Insightful Tale of a Technical Writer And a Waitress who must Conquer a Monkey in Ancient India,R,2.99
759,Salute Apollo,A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China,R,2.99
319,Fish Opus,A Touching Display of a Feminist And a Girl who must Confront a Astronaut in Australia,R,2.99
788,Ship Wonderland,A Thrilling Saga of a Monkey And a Frisbee who must Escape a Explorer in The Outback,R,2.99
115,Campus Remember,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,R,2.99
793,Shrunk Divine,A Fateful Character Study of a Waitress And a Technical Writer who must Battle a Hunter in A Baloon,R,2.99
329,Forrest Sons,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,R,2.99
333,Freaky Pocus,A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico,R,2.99
823,South Wait,A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park,R,2.99
337,Frida Slipper,A Fateful Story of a Lumberjack And a Car who must Escape a Boat in An Abandoned Mine Shaft,R,2.99
872,Sweet Brotherhood,A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Chase a Forensic Psychologist in A Baloon,R,2.99
116,Candidate Perdition,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,R,2.99
895,Tomorrow Hustler,A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert,R,2.99
900,Town Ark,A Awe-Inspiring Documentary of a Moose And a Madman who must Meet a Dog in An Abandoned Mine Shaft,R,2.99
356,Giant Troopers,A Fateful Display of a Feminist And a Monkey who must Vanquish a Monkey in The Canadian Rockies,R,2.99
917,Tuxedo Mile,A Boring Drama of a Man And a Forensic Psychologist who must Face a Frisbee in Ancient India,R,2.99
923,Unfaithful Kill,A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans,R,2.99
930,Vacation Boondock,A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia,R,2.99
939,Vertigo Northwest,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,R,2.99
368,Gone Trouble,A Insightful Character Study of a Mad Cow And a Forensic Psychologist who must Conquer a A Shark in A Manhattan Penthouse,R,2.99
370,Gorgeous Bingo,A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory,R,2.99
967,Weekend Personal,A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat,R,2.99
394,Hamlet Wisdom,A Touching Reflection of a Man And a Man who must Sink a Robot in The Outback,R,2.99
975,Willow Tracy,A Brilliant Panorama of a Boat And a Astronaut who must Challenge a Teacher in A Manhattan Penthouse,R,2.99
977,Window Side,A Astounding Character Study of a Womanizer And a Hunter who must Escape a Robot in A Monastery,R,2.99
988,Worker Tarzan,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,R,2.99
999,Zoolander Fiction,A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China,R,2.99
400,Hardly Robbers,A Emotional Character Study of a Hunter And a Car who must Kill a Woman in Berlin,R,2.99
129,Cause Date,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,R,2.99
415,High Encino,A Fateful Saga of a Waitress And a Hunter who must Outrace a Sumo Wrestler in Australia,R,2.99
135,Chance Resurrection,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,R,2.99
138,Chariots Conspiracy,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,R,2.99
437,House Dynamite,A Taut Story of a Pioneer And a Squirrel who must Battle a Student in Soviet Georgia,R,2.99
447,Ice Crossing,A Fast-Paced Tale of a Butler And a Moose who must Overcome a Pioneer in A Manhattan Penthouse,R,2.99
148,Chocolate Duck,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,R,2.99
158,Clones Pinocchio,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,R,2.99
480,Jeepers Wedding,A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia,R,2.99
162,Clueless Bucket,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,R,2.99
498,Killer Innocent,A Fanciful Character Study of a Student And a Explorer who must Succumb a Composer in An Abandoned Mine Shaft,R,2.99
503,Kramer Chocolate,A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback,R,2.99
24,Analyze Hoosiers,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,R,2.99
526,Lock Rear,A Thoughtful Character Study of a Squirrel And a Technical Writer who must Outrace a Student in Ancient Japan,R,2.99
